date,state,fips,cases,deaths,daily cases,daily deaths
2021-09-02,Washington,53,573736,6704,4855.0,33.0
2021-09-03,Washington,53,577569,6749,3833.0,45.0
2021-09-04,Washington,53,577569,6749,0.0,0.0
2021-09-05,Washington,53,577720,6749,151.0,0.0
2021-09-06,Washington,53,577902,6749,182.0,0.0
2021-09-07,Washington,53,588803,6797,10901.0,48.0
2021-09-08,Washington,53,592468,6856,3665.0,59.0
2021-09-09,Washington,53,596505,6920,4037.0,64.0
2021-09-10,Washington,53,599971,6977,3466.0,57.0
2021-09-11,Washington,53,599971,6977,0.0,0.0
2021-09-12,Washington,53,600184,6982,213.0,5.0
2021-09-13,Washington,53,609292,7042,9108.0,60.0
2021-09-14,Washington,53,612363,7095,3071.0,53.0
2021-09-15,Washington,53,616119,7143,3756.0,48.0
2021-09-16,Washington,53,619605,7199,3486.0,56.0
2021-09-17,Washington,53,623254,7256,3649.0,57.0
2021-09-18,Washington,53,623254,7256,0.0,0.0
2021-09-19,Washington,53,623254,7256,0.0,0.0
2021-09-20,Washington,53,630603,7319,7349.0,63.0
2021-09-21,Washington,53,633534,7372,2931.0,53.0
2021-09-22,Washington,53,635636,7423,2102.0,51.0
2021-09-23,Washington,53,640094,7487,4458.0,64.0
2021-09-24,Washington,53,643183,7537,3089.0,50.0
2021-09-25,Washington,53,643183,7537,0.0,0.0
2021-09-26,Washington,53,643285,7537,102.0,0.0
2021-09-27,Washington,53,651511,7578,8226.0,41.0
2021-09-28,Washington,53,654532,7641,3021.0,63.0
2021-09-29,Washington,53,657284,7704,2752.0,63.0
2021-09-30,Washington,53,660467,7780,3183.0,76.0
2021-10-01,Washington,53,663560,7824,3093.0,44.0
2021-10-02,Washington,53,663560,7824,0.0,0.0
2021-10-03,Washington,53,663660,7824,100.0,0.0
2021-10-04,Washington,53,670371,7861,6711.0,37.0
2021-10-05,Washington,53,672888,7909,2517.0,48.0
2021-10-06,Washington,53,675511,7970,2623.0,61.0
2021-10-07,Washington,53,678381,8017,2870.0,47.0
2021-10-08,Washington,53,680744,8068,2363.0,51.0
2021-10-09,Washington,53,680744,8068,0.0,0.0
2021-10-10,Washington,53,680808,8068,64.0,0.0
2021-10-11,Washington,53,686430,8120,5622.0,52.0
2021-10-12,Washington,53,688894,8120,2464.0,0.0
2021-10-13,Washington,53,691863,8214,2969.0,94.0
2021-10-14,Washington,53,694843,8263,2980.0,49.0
2021-10-15,Washington,53,697362,8295,2519.0,32.0
2021-10-16,Washington,53,697362,8295,0.0,0.0
2021-10-17,Washington,53,697424,8295,62.0,0.0
2021-10-18,Washington,53,699451,8302,2027.0,7.0
2021-10-19,Washington,53,704872,8381,5421.0,79.0
