date,daily cases,daily deaths,state
2021-10-29,88723.0,2020.0,US
2021-10-30,29411.0,324.0,US
2021-10-31,18883.0,157.0,US
2021-11-01,124570.0,1151.0,US
2021-11-02,76943.0,1516.0,US
2021-11-03,84844.0,1880.0,US
2021-11-04,83087.0,1123.0,US
2021-11-05,91768.0,2321.0,US
2021-11-06,31939.0,402.0,US
2021-11-07,22085.0,132.0,US
2021-11-08,126461.0,1221.0,US
2021-11-09,83651.0,1716.0,US
2021-11-10,98390.0,1636.0,US
2021-11-11,64601.0,722.0,US
2021-11-12,129351.0,2061.0,US
2021-11-13,61397.0,468.0,US
2021-11-14,23609.0,142.0,US
2021-11-15,148624.0,1191.0,US
2021-11-16,90486.0,1446.0,US
2021-11-17,114357.0,1618.0,US
2021-11-18,110273.0,3331.0,US
2021-11-19,119648.0,1991.0,US
2021-11-20,41064.0,325.0,US
2021-11-21,31372.0,123.0,US
2021-11-22,158898.0,1143.0,US
2021-11-23,92771.0,1478.0,US
2021-11-24,119892.0,1636.0,US
2021-11-25,30853.0,377.0,US
2021-11-26,51525.0,544.0,US
2021-11-27,24679.0,192.0,US
2021-11-28,23950.0,121.0,US
2021-11-29,216312.0,1874.0,US
2021-11-30,109294.0,1559.0,US
2021-12-01,139320.0,1966.0,US
2021-12-02,138712.0,1357.0,US
2021-12-03,153245.0,2161.0,US
2021-12-04,58144.0,490.0,US
2021-12-05,34573.0,161.0,US
2021-12-06,197444.0,1342.0,US
2021-12-07,113997.0,1774.0,US
2021-12-08,149045.0,1879.0,US
2021-12-09,123505.0,1295.0,US
2021-12-10,165062.0,2103.0,US
2021-12-11,51345.0,416.0,US
2021-12-12,36356.0,195.0,US
2021-12-13,202883.0,1289.0,US
2021-12-14,116859.0,1734.0,US
2021-12-15,145276.0,2093.0,US
2021-12-16,146319.0,1163.0,US
2021-12-17,171145.0,2096.0,US
2021-12-18,74663.0,474.0,US
2021-12-19,72479.0,163.0,US
2021-12-20,302900.0,1419.0,US
2021-12-21,189471.0,2088.0,US
2021-12-22,243692.0,2086.0,US
2021-12-23,265215.0,3284.0,US
2021-12-24,183925.0,1002.0,US
2021-12-25,58348.0,99.0,US
2021-12-26,189714.0,79.0,US
2021-12-27,543540.0,1743.0,US
2021-12-28,380712.0,2496.0,US
2021-12-29,489064.0,2101.0,US
2021-12-30,585055.0,1410.0,US
2021-12-31,446567.0,1195.0,US
2022-01-01,161060.0,273.0,US
2022-01-02,286637.0,232.0,US
2022-01-03,1018935.0,1650.0,US
2022-01-04,885906.0,2362.0,US
2022-01-05,704064.0,2128.0,US
2022-01-06,759218.0,1972.0,US
2022-01-07,900170.0,2684.0,US
2022-01-08,446240.0,690.0,US
2022-01-09,315335.0,401.0,US
2022-01-10,1433977.0,1684.0,US
2022-01-11,769928.0,2680.0,US
2022-01-12,880982.0,2761.0,US
2022-01-13,868707.0,2257.0,US
2022-01-14,933326.0,2991.0,US
2022-01-15,423227.0,998.0,US
2022-01-16,337807.0,410.0,US
2022-01-17,712051.0,774.0,US
2022-01-18,1178403.0,2985.0,US
2022-01-19,851955.0,3376.0,US
2022-01-20,748320.0,2672.0,US
2022-01-21,825315.0,3866.0,US
2022-01-22,337384.0,934.0,US
2022-01-23,199481.0,571.0,US
2022-01-24,1032159.0,2179.0,US
2022-01-25,510913.0,2972.0,US
2022-01-26,684446.0,3895.0,US
2022-01-27,530264.0,3091.0,US
2022-01-28,555775.0,3879.0,US
2022-01-29,242113.0,1306.0,US
2022-01-30,104058.0,361.0,US
2022-01-31,661972.0,2573.0,US
2022-02-01,296405.0,3582.0,US
2022-02-02,325029.0,3631.0,US
2022-02-03,312242.0,3022.0,US
2022-02-04,312980.0,3976.0,US
2022-02-05,123767.0,868.0,US
2022-02-06,58477.0,378.0,US
2022-02-07,348119.0,2739.0,US
2022-02-08,194496.0,3358.0,US
2022-02-09,226349.0,3570.0,US
2022-02-10,173593.0,3261.0,US
2022-02-11,169823.0,2807.0,US
2022-02-12,63962.0,761.0,US
2022-02-13,34388.0,472.0,US
2022-02-14,206324.0,2586.0,US
2022-02-15,115512.0,2850.0,US
2022-02-16,141180.0,3306.0,US
2022-02-17,103865.0,3187.0,US
2022-02-18,109609.0,2491.0,US
2022-02-19,46211.0,692.0,US
2022-02-20,26167.0,414.0,US
2022-02-21,55659.0,760.0,US
2022-02-22,123117.0,2726.0,US
2022-02-23,84544.0,3024.0,US
2022-02-24,73406.0,2908.0,US
2022-02-25,85986.0,2809.0,US
2022-02-26,25222.0,565.0,US
2022-02-27,9086.0,197.0,US
2022-02-28,107800.0,1972.0,US
2022-03-01,43583.0,1933.0,US
2022-03-02,58146.0,2348.0,US
2022-03-03,51737.0,1882.0,US
2022-03-04,49587.0,1892.0,US
2022-03-05,16615.0,307.0,US
2022-03-06,6775.0,212.0,US
2022-03-07,63052.0,1686.0,US
2022-03-08,34016.0,1575.0,US
2022-03-09,47704.0,1813.0,US
2022-03-10,38193.0,1559.0,US
2022-03-11,44375.0,1684.0,US
2022-03-12,10922.0,472.0,US
2022-03-13,6390.0,143.0,US
2022-03-14,49048.0,-2435.0,US
2022-03-15,48396.0,1523.0,US
2022-03-16,39396.0,2033.0,US
2022-03-17,35986.0,1208.0,US
2022-03-18,36469.0,1043.0,US
2022-03-19,12119.0,332.0,US
2022-03-20,7853.0,83.0,US
2022-03-21,46135.0,959.0,US
2022-03-22,25669.0,997.0,US
2022-03-23,47087.0,1355.0,US
2022-03-24,37746.0,982.0,US
2022-03-25,33737.0,832.0,US
2022-03-26,12055.0,163.0,US
2022-03-27,7498.0,50.0,US
2022-03-28,42236.0,910.0,US
2022-03-29,25628.0,757.0,US
2022-03-30,45442.0,1208.0,US
2022-03-31,37777.0,875.0,US
2022-04-01,32435.0,645.0,US
2022-04-02,11395.0,137.0,US
2022-04-03,4927.0,39.0,US
2022-04-04,41040.0,625.0,US
2022-04-05,30893.0,464.0,US
2022-04-06,49323.0,1117.0,US
2022-04-07,35706.0,708.0,US
2022-04-08,44105.0,543.0,US
2022-04-09,13521.0,272.0,US
2022-04-10,8185.0,27.0,US
2022-04-11,49985.0,434.0,US
2022-04-12,29034.0,591.0,US
2022-04-13,53909.0,994.0,US
2022-04-14,57463.0,616.0,US
2022-04-15,47618.0,723.0,US
2022-04-16,10903.0,40.0,US
2022-04-17,11279.0,17.0,US
2022-04-18,60076.0,317.0,US
2022-04-19,50022.0,454.0,US
2022-04-20,62897.0,611.0,US
2022-04-21,59266.0,484.0,US
2022-04-22,68097.0,490.0,US
2022-04-23,18917.0,97.0,US
2022-04-24,12391.0,28.0,US
2022-04-25,74612.0,353.0,US
2022-04-26,54653.0,306.0,US
2022-04-27,84470.0,671.0,US
2022-04-28,73569.0,463.0,US
2022-04-29,81831.0,419.0,US
2022-04-30,22326.0,89.0,US
